,Accuracy,Loss
0,59.529149532318115,1.8611642122268677
1,65.35874605178833,1.08952796459198
2,20.089787244796753,2.8341784477233887
3,61.84062957763672,1.0353949069976807
mean,51.70457810163498,1.7050663828849792
