,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.6923076923076923,0.15487571701720843,0.25312500000000004,523.0,81,439,3
class 1,0.09664429530201342,0.972972972972973,0.1758241758241758,74.0,2,72,0
class 2,0.896551724137931,0.08843537414965986,0.1609907120743034,294.0,34,234,26
accuracy,0.20089786756453423,0.20089786756453423,0.20089786756453423,0.20089786756453423,-,-,-
macro avg,0.5618345705825456,0.4054280213799471,0.1966466292994931,891.0,-,-,-
weighted avg,0.7102298628797126,0.20089786756453423,0.21630374114571746,891.0,-,-,-
