,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.7304964539007093,0.19694072657743786,0.3102409638554217,523.0,103,420,0
class 1,0.09733333333333333,0.9864864864864865,0.17718446601941745,74.0,1,73,0
class 2,0.0,0.0,0.0,294.0,37,257,0
accuracy,0.19753086419753085,0.19753086419753085,0.19753086419753085,0.19753086419753085,-,-,-
macro avg,0.27594326241134753,0.3944757376879748,0.16247514329161306,891.0,-,-,-
weighted avg,0.436871281769627,0.19753086419753085,0.19682118359351564,891.0,-,-,-
