,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9829059829059829,0.2198852772466539,0.359375,523.0,115,296,112
class 1,0.1775,0.9594594594594594,0.29957805907172996,74.0,0,71,3
class 2,0.6925133689839572,0.8809523809523809,0.7754491017964072,294.0,2,33,259
accuracy,0.4994388327721661,0.4994388327721661,0.4994388327721661,0.4994388327721661,-,-,-
macro avg,0.6176397839633133,0.6867657058861648,0.4781340536227124,891.0,-,-,-
weighted avg,0.8201950163199915,0.4994388327721661,0.4916991439948954,891.0,-,-,-
