,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9798561151079137,0.9770444763271162,0.978448275862069,697.0,681,1,15
class 1,0.9895833333333334,0.9693877551020408,0.9793814432989691,98.0,2,95,1
class 2,0.9596977329974811,0.9694656488549618,0.9645569620253163,393.0,12,0,381
accuracy,0.9739057239057239,0.9739057239057239,0.9739057239057239,0.9739057239057239,-,-,-
macro avg,0.9763790604795761,0.9719659600947063,0.9741288937287848,1188.0,-,-,-
weighted avg,0.9739899730344213,0.9739057239057239,0.9739298954504296,1188.0,-,-,-
