,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.592090395480226,1.0,0.7437899219304471,524.0,524,0,0
class 1,1.0,0.08108108108108109,0.15,74.0,68,6,0
class 2,1.0,0.003401360544217687,0.006779661016949153,294.0,293,0,1
accuracy,0.5952914798206278,0.5952914798206278,0.5952914798206278,0.5952914798206278,-,-,-
macro avg,0.864030131826742,0.3614941472084329,0.3001898609824654,892.0,-,-,-
weighted avg,0.7603759722327786,0.5952914798206278,0.4516133850118132,892.0,-,-,-
