,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.948377581120944,0.9212034383954155,0.934593023255814,698.0,643,14,41
class 1,0.84375,0.8181818181818182,0.8307692307692308,99.0,8,81,10
class 2,0.8771084337349397,0.9285714285714286,0.9021065675340769,392.0,27,1,364
accuracy,0.9150546677880572,0.9150546677880572,0.9150546677880572,0.9150546677880572,-,-,-
macro avg,0.8897453382852946,0.8893188950495542,0.8891562738530405,1189.0,-,-,-
weighted avg,0.916169308365446,0.9150546677880572,0.9152378961749958,1189.0,-,-,-
