,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.5997807017543859,0.7836676217765043,0.6795031055900621,698.0,547,151,0
class 1,0.29699248120300753,0.797979797979798,0.4328767123287671,99.0,20,79,0
class 2,1.0,0.02806122448979592,0.05459057071960297,392.0,345,36,11
accuracy,0.535744322960471,0.535744322960471,0.535744322960471,0.535744322960471,-,-,-
macro avg,0.6322577276524645,0.5365695480820328,0.38899012954614415,1189.0,-,-,-
weighted avg,0.7065173973622028,0.535744322960471,0.45294151887678347,1189.0,-,-,-
