,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.996661101836394,0.8553008595988538,0.920585967617579,698.0,597,1,100
class 1,0.9894736842105263,0.9494949494949495,0.9690721649484537,99.0,1,94,4
class 2,0.7898989898989899,0.9974489795918368,0.8816234498308906,392.0,1,0,391
accuracy,0.9100084104289319,0.9100084104289319,0.9100084104289319,0.9100084104289319,-,-,-
macro avg,0.92534459198197,0.9340815962285468,0.9237605274656411,1189.0,-,-,-
weighted avg,0.92789549861989,0.9100084104289319,0.9117775795295848,1189.0,-,-,-
