,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.5,0.0019120458891013384,0.0038095238095238095,523.0,1,522,0
class 1,0.08314606741573034,1.0,0.15352697095435686,74.0,0,74,0
class 2,0.0,0.0,0.0,295.0,1,294,0
accuracy,0.08408071748878924,0.08408071748878924,0.08408071748878924,0.08408071748878924,-,-,-
macro avg,0.19438202247191014,0.33397068196303376,0.05244549825462689,892.0,-,-,-
weighted avg,0.30005920290220184,0.08408071748878924,0.014970153366595693,892.0,-,-,-
