,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9951690821256038,0.8853868194842407,0.9370735405610311,698.0,618,1,79
class 1,0.979381443298969,0.9595959595959596,0.9693877551020409,99.0,0,95,4
class 2,0.8237791932059448,0.9897959183673469,0.8991888760139051,392.0,3,1,388
accuracy,0.9259882253994953,0.9259882253994953,0.9259882253994953,0.9259882253994953,-,-,-
macro avg,0.9327765728768392,0.9449262324825157,0.9352167238923257,1189.0,-,-,-
weighted avg,0.9373492228317912,0.9259882253994953,0.9272739768411711,1189.0,-,-,-
