,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,1.0,0.8595988538681948,0.9244992295839752,698.0,600,35,63
class 1,0.7205882352941176,0.98989898989899,0.8340425531914893,99.0,0,98,1
class 2,0.8587196467991169,0.9923469387755102,0.9207100591715975,392.0,0,3,389
accuracy,0.9142136248948697,0.9142136248948697,0.9142136248948697,0.9142136248948697,-,-,-
macro avg,0.8597692940310783,0.9472815941808982,0.8930839473156874,1189.0,-,-,-
weighted avg,0.9301567172744925,0.9142136248948697,0.9157182659468783,1189.0,-,-,-
