,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.7197916666666667,0.9899713467048711,0.833534378769602,698.0,691,2,5
class 1,0.9591836734693877,0.47474747474747475,0.6351351351351352,99.0,39,47,13
class 2,0.9,0.413265306122449,0.5664335664335665,392.0,230,0,162
accuracy,0.7569386038687973,0.7569386038687973,0.7569386038687973,0.7569386038687973,-,-,-
macro avg,0.8596584467120181,0.6259947091915983,0.6783676934461011,1189.0,-,-,-
weighted avg,0.7991368940343169,0.7569386038687973,0.72895486358412,1189.0,-,-,-
