,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.5808936825885979,0.7194656488549618,0.6427962489343564,524.0,377,147,0
class 1,0.18930041152263374,0.6216216216216216,0.2902208201892744,74.0,28,46,0
class 2,0.0,0.0,0.0,294.0,244,50,0
accuracy,0.4742152466367713,0.4742152466367713,0.4742152466367713,0.4742152466367713,-,-,-
macro avg,0.25673136470374386,0.4470290901588611,0.31100568970787695,892.0,-,-,-
weighted avg,0.3569467714451796,0.4742152466367713,0.4016833801968711,892.0,-,-,-
