,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.6904024767801857,0.9598278335724534,0.8031212484993997,697.0,669,6,22
class 1,0.8947368421052632,0.5204081632653061,0.6580645161290324,98.0,31,51,16
class 2,0.7654320987654321,0.3155216284987277,0.4468468468468468,393.0,269,0,124
accuracy,0.7104377104377104,0.7104377104377104,0.7104377104377104,0.7104377104377104,-,-,-
macro avg,0.783523805883627,0.5985858751121623,0.6360108704917596,1188.0,-,-,-
weighted avg,0.7320787471859597,0.7104377104377104,0.6732968380433818,1188.0,-,-,-
