,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9444444444444444,0.03244274809160305,0.06273062730627306,524.0,17,175,332
class 1,0.23376623376623376,0.7297297297297297,0.3540983606557377,74.0,0,54,20
class 2,0.4525660964230171,0.9897959183673469,0.6211312700106724,294.0,1,2,291
accuracy,0.40582959641255606,0.40582959641255606,0.40582959641255606,0.40582959641255606,-,-,-
macro avg,0.5435922582112318,0.5839894653962266,0.34598675265756107,892.0,-,-,-
weighted avg,0.7233654961165439,0.40582959641255606,0.2709492385427683,892.0,-,-,-
