,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.5862361937128292,0.9899569583931134,0.736392742796158,697.0,690,7,0
class 1,0.36363636363636365,0.04081632653061224,0.07339449541284403,98.0,94,4,0
class 2,0.0,0.0,0.0,393.0,393,0,0
accuracy,0.5841750841750841,0.5841750841750841,0.5841750841750841,0.5841750841750841,-,-,-
macro avg,0.3166241857830643,0.34359109497457524,0.26992907940300065,1188.0,-,-,-
weighted avg,0.37394191132508886,0.5841750841750841,0.43809629821496704,1188.0,-,-,-
