,Accuracy,Loss
0,47.42152392864227,2.7601168155670166
1,8.408071845769882,4.752803802490234
2,19.75308656692505,2.1618387699127197
3,8.305274695158005,4.231693267822266
mean,20.971989259123802,3.476613163948059
