,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,1.0,0.0057361376673040155,0.011406844106463879,523.0,3,502,18
class 1,0.09766162310866575,0.9594594594594594,0.1772784019975031,74.0,0,71,3
class 2,0.8695652173913043,0.47619047619047616,0.6153846153846153,294.0,0,154,140
accuracy,0.24017957351290684,0.24017957351290684,0.24017957351290684,0.24017957351290684,-,-,-
macro avg,0.6557422801666567,0.4804620244390798,0.2680232871628608,891.0,-,-,-
weighted avg,0.8820192301044723,0.24017957351290684,0.22447526165945314,891.0,-,-,-
