,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.5952177625960717,0.998567335243553,0.7458533975387908,698.0,697,1,0
class 1,0.9444444444444444,0.1717171717171717,0.29059829059829057,99.0,82,17,0
class 2,0.0,0.0,0.0,392.0,392,0,0
accuracy,0.6005046257359126,0.6005046257359126,0.6005046257359126,0.6005046257359126,-,-,-
macro avg,0.513220735680172,0.3900948356535749,0.3454838960456938,1189.0,-,-,-
weighted avg,0.4280588715660707,0.6005046257359126,0.4620478572340679,1189.0,-,-,-
