,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9059633027522935,0.7552581261950286,0.8237747653806048,523.0,395,0,128
class 1,1.0,0.17567567567567569,0.2988505747126437,74.0,36,13,25
class 2,0.654627539503386,0.9830508474576272,0.7859078590785908,295.0,5,0,290
accuracy,0.7825112107623319,0.7825112107623319,0.7825112107623319,0.7825112107623319,-,-,-
macro avg,0.8535302807518933,0.6379948831094439,0.6361777330572798,892.0,-,-,-
weighted avg,0.8306434209562201,0.7825112107623319,0.7677039946759823,892.0,-,-,-
