,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.66,0.92,0.77,698,642,41,15
class 1,0.47,0.36,0.41,99,52,36,11
class 2,0.82,0.30,0.44,392,273,0,119
accuracy,0.67,0.67,0.67,0.670311186,-,-,-
macro avg,0.65,0.53,0.54,1189,-,-,-
weighted avg,0.70,0.67,0.63,1189,-,-,-
