,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.6135371179039302,0.8051575931232091,0.6964064436183395,698.0,562,136,0
class 1,0.2964824120603015,0.5959595959595959,0.39597315436241615,99.0,40,59,0
class 2,1.0,0.18877551020408162,0.31759656652360513,392.0,314,4,74
accuracy,0.584524810765349,0.584524810765349,0.584524810765349,0.584524810765349,-,-,-
macro avg,0.6366731766547439,0.5299642330956289,0.4699920548347869,1189.0,-,-,-
weighted avg,0.7145506031042163,0.584524810765349,0.5465020134606673,1189.0,-,-,-
