,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9274193548387096,0.4397705544933078,0.5966277561608301,523.0,230,260,33
class 1,0.192090395480226,0.918918918918919,0.3177570093457944,74.0,3,68,3
class 2,0.8754325259515571,0.8605442176870748,0.8679245283018867,294.0,15,26,253
accuracy,0.6184062850729517,0.6184062850729517,0.6184062850729517,0.6184062850729517,-,-,-
macro avg,0.6649807587568309,0.7397445636997672,0.5941030979361703,891.0,-,-,-
weighted avg,0.8491943596811892,0.6184062850729517,0.6629855740566303,891.0,-,-,-
