,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9934959349593496,0.8766140602582496,0.9314024390243902,697.0,611,0,86
class 1,1.0,0.8673469387755102,0.9289617486338798,98.0,1,85,12
class 2,0.7991803278688525,0.9923664122137404,0.8853575482406357,393.0,3,0,390
accuracy,0.9141414141414141,0.9141414141414141,0.9141414141414141,0.9141414141414141,-,-,-
macro avg,0.9308920876094007,0.9121091370825001,0.9152405786329686,1188.0,-,-,-
weighted avg,0.9297512925245166,0.9141414141414141,0.9159690806605134,1188.0,-,-,-
