,precision,recall,f1-score,support,pred_0,pred_1,pred_2
class 0,0.9588477366255144,0.44550669216061184,0.6083550913838119,523.0,233,141,149
class 1,0.2935323383084577,0.7972972972972973,0.4290909090909091,74.0,7,59,8
class 2,0.6495535714285714,0.9864406779661017,0.7833109017496636,295.0,3,1,291
accuracy,0.6535874439461884,0.6535874439461884,0.6535874439461884,0.6535874439461884,-,-,-
macro avg,0.6339778821208478,0.7430815558080036,0.6069189674081282,892.0,-,-,-
weighted avg,0.8013644202482045,0.6535874439461884,0.6513443453840938,892.0,-,-,-
